 ID,DATA E HORA,TQ SUSPENSÃO,VEL_1_RPM, VEL_5_RPM,COZEDOR, TEMP AMOSTRA C°,ASPECTO
615,7/12/2023 6:30:00 PM,Tanque 1003,134000,37400,Therlet 4,24,OK
621,7/12/2023 9:31:00 PM,Tanque 1002,134520,40960,Therlet 4,23,OK
627,7/13/2023 12:30:00 AM,Tanque 1003,135200,39450,Therlet 4,24,OK
631,7/13/2023 2:30:00 AM,Tanque 1003,125200,38640,Therlet 4,24,OK
637,7/13/2023 5:30:00 AM,Tanque 1001,132000,37520,Therlet 4,24,OK
642,7/13/2023 11:30:00 AM,Tanque 1002,127450,37000,Therlet 4,25,OK
646,7/13/2023 1:30:00 PM,Tanque 1003,130500,38330,Therlet 4,25,OK
647,7/13/2023 2:30:00 PM,Tanque 1001,133600,40240,Therlet 4,23,OK
651,7/13/2023 4:30:00 PM,Tanque 1003,134800,40880,Therlet 4,23,OK
655,7/13/2023 6:30:00 PM,Tanque 1002,133600,39840,Therlet 4,23,OK
660,7/13/2023 8:35:00 PM,Tanque 1002,150400,43040,Therlet 4,24,OK
665,7/14/2023 12:37:00 AM,Tanque 1003,133200,38200,Therlet 4,24,OK
669,7/14/2023 2:30:00 AM,Tanque 1003,134400,40480,Therlet 4,25,OK
674,7/14/2023 4:30:00 AM,Tanque 1002,122000,38960,Therlet 4,24,OK
682,7/14/2023 8:37:00 AM,Tanque 1003,117700,35250,Therlet 4,25,OK
686,7/14/2023 9:30:00 AM,Tanque 1003,130500,37640,Therlet 4,25,OK
690,7/14/2023 11:30:00 AM,Tanque 1002,124300,36800,Therlet 4,24,OK
695,7/14/2023 2:30:00 PM,Tanque 1002,131600,37680,Therlet 4,23,OK
698,7/14/2023 4:30:00 PM,Tanque 1002,148800,41760,Therlet 4,23,OK
700,7/14/2023 6:30:00 PM,Tanque 1003,149750,42000,Therlet 4,23,OK
704,7/14/2023 11:30:00 PM,Tanque 1002,142000,40480,Therlet 4,24,OK
707,7/15/2023 12:30:00 AM,Tanque 1002,131600,39840,Therlet 4,24,OK
709,7/15/2023 1:30:00 AM,Tanque 1002,134400,42800,Therlet 4,23,OK
713,7/15/2023 5:55:00 AM,Tanque 1001,129200,36160,Therlet 4,25,OK
714,7/15/2023 6:30:00 AM,Tanque 1002,124400,37500,Therlet 4,24,OK
715,7/15/2023 7:30:00 AM,Tanque 1002,127600,37150,Therlet 4,25,OK
735,7/15/2023 5:35:00 PM,Tanque 1003,137200,42160,Therlet 4,23,OK
739,7/15/2023 7:33:00 PM,Tanque 1002,128000,42280,Therlet 4,23,OK
743,7/15/2023 9:33:00 PM,Tanque 1001,128400,40320,Therlet 4,23,OK
746,7/15/2023 11:30:00 PM,Tanque 1001,141100,44720,Therlet 4,23,OK
748,7/16/2023 1:30:00 AM,Tanque 1003,153000,40480,Therlet 4,23,OK
749,7/16/2023 2:30:00 AM,Tanque 1001,148000,43600,Therlet 4,24,OK
750,7/16/2023 3:30:00 AM,Tanque 1001,151100,44300,Therlet 4,24,OK
752,7/16/2023 4:30:00 AM,Tanque 1002,152800,44800,Therlet 4,25,OK
755,7/16/2023 6:30:00 AM,Tanque 1003,136400,136400,Therlet 4,25,OK
757,7/16/2023 7:30:00 AM,Tanque 1001,130500,38200,Therlet 4,25,OK
759,7/16/2023 8:30:00 AM,Tanque 1002,125000,33180,Therlet 4,25,OK
763,7/16/2023 10:30:00 AM,Tanque 1001,126710,39400,Therlet 4,25,OK
766,7/16/2023 11:30:00 AM,Tanque 1001,109600,36400,Therlet 4,25,OK
768,7/16/2023 12:30:00 PM,Tanque 1002,119450,37600,Therlet 4,26,OK
774,7/16/2023 3:33:00 PM,Tanque 1003,139200,39440,Therlet 4,26,OK
776,7/16/2023 4:33:00 PM,Tanque 1001,152000,41760,Therlet 4,23,OK
778,7/16/2023 5:33:00 PM,Tanque 1002,142800,40720,Therlet 4,23,OK
780,7/16/2023 8:30:00 PM,Tanque 1001,131600,37600,Therlet 4,25,OK
785,7/17/2023 6:30:00 AM,Tanque 1001,132120,40000,Therlet 4,24,OK
787,7/17/2023 7:30:00 AM,Tanque 1002,126180,34120,Therlet 4,25,OK
789,7/17/2023 8:20:00 AM,Tanque 1003,134900,34440,Therlet 4,24,OK
